name,top_keywords,x,y,discipline_en,discipline_sp
"Prochnik, Andrés","gc, asthma, hfd, stress, cognitive, cms, gcs",-1.0797971,0.54454076,Cell Biology & Oncology,Biología celular
"Procopio Rodriguez, Jano Nehuén","triásico, jurásico, triassic, bennettitales, jurassic, coníferas, pleuromeiaceae",6.3152585,5.123837,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Procopio, Diego Esteban","puma, baits, lineomaculatus, levamisole, magellanicus, fox, liolaemus",5.6611724,3.0267835,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Procura, Francisco","salmonella, cama, o157, sp, preenrichment, plating, chicken",2.294629,-0.9779766,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Proetto, Cesar Ramon","oep, exchange, exact, becke, jellium, energy, q2deg",-5.979135,1.1878688,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Profeta, Mariela Inés","adsorción, suelo, mol, adsorption, mcpa, deltametrina, desorción",-3.4743373,-0.7167907,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Profili, Lelia Edith","hegel, absoluto, absolute, hegeliano, logic, speculative, jena",-1.4908707,8.753568,Social Sciences & Humanities,Ciencias sociales y humanidades
"Proietti Anastasi, Cecilia Jazmín","erbb, stat3, pr, breast, cancer, hrg, trastuzumab",-1.327103,-2.0787375,Cell Biology & Oncology,Biología celular
"Proietto, Sofia","vizcacha, gnrh, lagostomus, maximus, melatonin, plains, hypothalamic",-0.031915817,1.1750522,Cell Biology & Oncology,Biología celular
"Prono, Santiago Nicolas","deliberativa, habermas, democracia, deliberative, teoría, política, ética",-0.9630699,8.362598,Social Sciences & Humanities,Ciencias sociales y humanidades
"Pronsato, Lucía","apoptosis, skeletal, muscle, células, extracto, glauca, c2c12",-0.7690617,-0.7092928,Cell Biology & Oncology,Biología celular
"Pronsato, Maria Estela","adsorption, surface, mo2c, dft, calculations, ethanol, density",-5.1079082,-0.22549722,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Propato, Tamara Sofía","interdisciplinary, grandis, team, international, watershed, eucalyptus, teams",1.203914,5.730468,Social Sciences & Humanities,Ciencias sociales y humanidades
"Prosdocimi, Laura","turtles, bycatch, conservation, fishing, fisheries, caretta, nesting",5.429204,3.9377987,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Prosdocimo, Florencia Maria","salmonella, bacteriófagos, fsg, bacteriophages, enteritidis, f9, gallinarum",2.1861835,-0.8068345,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Prosello, W","probiotic, cheese, acidophilus, a13, bifidobacterium, casei, lactobacillus",1.4550102,-0.0021082128,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Prosperi, Carlos Hugo","chl, reservatório, microcystis, mortalidade, ensenada, diamante, em",4.0922914,4.0149837,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Prospitti, Agustin Luis","metalúrgicos, combativo, sindical, lucha, plenario, sindicalismo, constitución",0.033478364,7.5834584,Social Sciences & Humanities,Ciencias sociales y humanidades
"Prospitti, Anabela","sdz, pyr, pediatric, pyrimethamine, suero, sulfadiazine, hidrolizados",2.581857,-1.1706314,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Prosser Goodall, Rae Natalie","dolphin, dolphins, commerson, grampus, fuego, species, peale",5.612824,4.3688793,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Proto, Araceli Noemi","multiagent, cooperative, peer, agents, sizes, lotka, competitive",-4.8046184,2.8160272,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Proto, Victor","ht, rings, nt, extraendothelial, ang, nnos, hypertensive",-0.53269404,0.14473672,Cell Biology & Oncology,Biología celular
"Protogino, Lucila Cristina","fish, species, astyanax, plata, hypostomus, characiformes, peces",5.629718,3.7917042,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Proud, Daniel Nathan","goodnight, priscaleclercera, psilodercidae, amber, species, samoidae, caeculus",6.1473527,2.5535111,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Provasi, Patricio Federico","spin, coupling, constants, soppa, anapole, magnetic, solvent",-5.611038,0.5822797,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Provecho, Yael Mariana","infestation, bug, house, infestans, triatoma, qom, insecticide",4.787254,-0.23225677,Agronomy & Plant Sciences,Botánica y agronomía
